wouldMatch,method,raw
0,GET,"/csrf-token"
1,PATCH,"/mail/inbox/:param/read"
1,GET,"/products/:param"
1,POST,"/reviews/product/:param"
1,DELETE,"/brands/:param"
1,PUT,"/brands/:param"
1,DELETE,"/categories/:param"
1,PUT,"/categories/:param"
1,DELETE,"/mail/subscribers/:param"
0,PATCH,"/mail/automations/:param/toggle"
1,DELETE,"/banners/:param"
1,PATCH,"/banners/:param/toggle"
0,PATCH,"/orders/:param"
1,PATCH,"/orders/:param/status"
1,PATCH,"/reviews/:param/status"
1,DELETE,"/reviews/:param"
1,PATCH,"/questions/:param/answer"
1,DELETE,"/auth/users/:param"
1,PATCH,"/auth/users/:param/role"
1,PATCH,"/auth/users/:param/admin-notes"
1,PATCH,"/auth/users/:param/admin-notes"
1,PATCH,"/auth/users/:param/loyalty"
1,GET,"/orders/track/:param"
1,POST,"/orders/:param/confirm-qr-payment"
1,GET,"/orders/track/:param"
1,GET,"/orders/:param"
1,PATCH,"/campaigns/:param"
1,DELETE,"/campaigns/:param"
1,PUT,"/cart/:param"
1,PUT,"/cart/:param/options"
1,DELETE,"/coupons/:param"
1,PATCH,"/coupons/:param/toggle"
1,GET,"/inventory/product/:param"
1,GET,"/orders/track/:param"
1,PATCH,"/orders/:param/cancel"
1,PATCH,"/orders/:param/request-return"
1,PUT,"/products/:param"
1,GET,"/products/category/:param"
1,DELETE,"/products/:param"
1,PATCH,"/products/:param"
1,GET,"/products/:param"
1,DELETE,"/wishlist/:param"
