frontend_file,method,frontend_endpoint,backend_file,backend_method,backend_route,backend_prefix
frontend\src\App.jsx,GET,/csrf-token,,,,
frontend\src\App.jsx,POST,/auth/resend-verification,backend\routes\auth.route.js,POST,/resend-verification,/api/auth
frontend\src\components\admin\AITab.jsx,POST,/ai/automation/confirm-orders,backend\routes\ai.route.js,POST,/automation/confirm-orders,/api/ai
frontend\src\components\admin\AITab.jsx,POST,/ai/automation/cleanup-users,backend\routes\ai.route.js,POST,/automation/cleanup-users,/api/ai
frontend\src\components\admin\email\EmailInboxView.jsx,PATCH,/mail/inbox/:param/read,,,,
frontend\src\components\admin\ProductsList.jsx,PATCH,/products,,,,
frontend\src\components\admin\ProductsList.jsx,POST,/products/import/preview,backend\routes\product.route.js,POST,/import/preview,/api/products
frontend\src\components\admin\ProductsList.jsx,POST,/products/import,backend\routes\product.route.js,POST,/import,/api/products
frontend\src\components\admin\ProductsList.jsx,POST,/products/import,backend\routes\product.route.js,POST,/import,/api/products
frontend\src\components\admin\ProductsList.jsx,GET,/products/export,backend\routes\product.route.js,GET,/export,/api/products
frontend\src\components\CampaignBannerSection.jsx,GET,/banners,,,,
frontend\src\components\ChatBot.jsx,GET,/products,,,,
frontend\src\components\ChatBot.jsx,GET,/products,,,,
frontend\src\components\ChatBot.jsx,GET,/products,,,,
frontend\src\components\ChatBot.jsx,POST,/ai/chat,backend\routes\ai.route.js,POST,/chat,/api/ai
frontend\src\components\Footer.jsx,POST,/mail/subscribe,backend\routes\mail.route.js,POST,/subscribe,/api/mail
frontend\src\components\PeopleAlsoBought.jsx,GET,/products/recommendations,backend\routes\product.route.js,GET,/recommendations,/api/products
frontend\src\components\PromoPopup.jsx,POST,/mail/subscribe,backend\routes\mail.route.js,POST,/subscribe,/api/mail
frontend\src\components\RecentlyViewed.jsx,GET,/products/:param,,,,
frontend\src\components\ReviewForm.jsx,POST,/reviews/product/:param,,,,
frontend\src\hooks\useAnalyticsData.js,GET,/analytics?days=:param&includePrev=true,,,,
frontend\src\hooks\useAnalyticsData.js,GET,/products?sort=best_selling&limit=8,,,,
