count,method,endpoint,exampleFiles
3,"GET","/orders/track/:param","frontend\src\pages\CheckoutPage.jsx | frontend\src\pages\PurchaseSuccessPage.jsx | frontend\src\stores\useOrderStore.js"
2,"GET","/products/:param","frontend\src\components\RecentlyViewed.jsx | frontend\src\stores\useProductStore.js"
2,"PATCH","/auth/users/:param/admin-notes","frontend\src\hooks\useUsersModal.js"
1,"GET","/csrf-token","frontend\src\App.jsx"
1,"PATCH","/mail/inbox/:param/read","frontend\src\components\admin\email\EmailInboxView.jsx"
1,"POST","/reviews/product/:param","frontend\src\components\ReviewForm.jsx"
1,"DELETE","/brands/:param","frontend\src\hooks\useBrandManagement.js"
1,"PUT","/brands/:param","frontend\src\hooks\useBrandManagement.js"
1,"DELETE","/categories/:param","frontend\src\hooks\useCategoryManagement.js"
1,"PUT","/categories/:param","frontend\src\hooks\useCategoryManagement.js"
1,"DELETE","/mail/subscribers/:param","frontend\src\hooks\useEmailTabData.js"
1,"PATCH","/mail/automations/:param/toggle","frontend\src\hooks\useEmailTabData.js"
1,"DELETE","/banners/:param","frontend\src\hooks\useMarketingManagement.js"
1,"PATCH","/banners/:param/toggle","frontend\src\hooks\useMarketingManagement.js"
1,"PATCH","/orders/:param","frontend\src\hooks\useOrderForm.js"
1,"PATCH","/orders/:param/status","frontend\src\hooks\useOrderStatus.js"
1,"PATCH","/reviews/:param/status","frontend\src\hooks\useReviewsManagement.js"
1,"DELETE","/reviews/:param","frontend\src\hooks\useReviewsManagement.js"
1,"PATCH","/questions/:param/answer","frontend\src\hooks\useReviewsManagement.js"
1,"DELETE","/auth/users/:param","frontend\src\hooks\useUsersData.js"
1,"PATCH","/auth/users/:param/role","frontend\src\hooks\useUsersData.js"
1,"PATCH","/auth/users/:param/loyalty","frontend\src\hooks\useUsersModal.js"
1,"POST","/orders/:param/confirm-qr-payment","frontend\src\pages\CheckoutPage.jsx"
1,"GET","/orders/:param","frontend\src\pages\PurchaseSuccessPage.jsx"
1,"PATCH","/campaigns/:param","frontend\src\stores\useCampaignStore.js"
1,"DELETE","/campaigns/:param","frontend\src\stores\useCampaignStore.js"
1,"PUT","/cart/:param","frontend\src\stores\useCartStore.js"
1,"PUT","/cart/:param/options","frontend\src\stores\useCartStore.js"
1,"DELETE","/coupons/:param","frontend\src\stores\useCouponStore.js"
1,"PATCH","/coupons/:param/toggle","frontend\src\stores\useCouponStore.js"
1,"GET","/inventory/product/:param","frontend\src\stores\useInventoryStore.js"
1,"PATCH","/orders/:param/cancel","frontend\src\stores\useOrderStore.js"
1,"PATCH","/orders/:param/request-return","frontend\src\stores\useOrderStore.js"
1,"PUT","/products/:param","frontend\src\stores\useProductStore.js"
1,"GET","/products/category/:param","frontend\src\stores\useProductStore.js"
1,"DELETE","/products/:param","frontend\src\stores\useProductStore.js"
1,"PATCH","/products/:param","frontend\src\stores\useProductStore.js"
1,"DELETE","/wishlist/:param","frontend\src\stores\useWishlistStore.js"
